DrakSlime,1,1,1,0,0,0,2,2,2,2,2,2,2,2,3,2,2,1,0,1,0,0,0,0,0,0,0
SpotSlime,0,0,0,0,0,0,2,2,2,2,2,2,3,3,2,2,0,0,0,0,0,1,1,1,1,1,0
WingSlime,0,0,0,1,1,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,1,1,1,1,0
TreeSlime,0,0,0,1,1,0,2,2,2,3,3,2,2,2,2,2,0,0,0,0,0,1,1,1,0,0,2
Snaily,0,0,0,0,0,0,2,3,2,2,3,2,2,2,2,2,0,0,1,1,1,0,0,0,1,1,2
SlimeNite,1,1,1,1,1,1,2,2,3,2,2,2,2,2,3,2,1,0,0,1,0,0,0,0,0,0,0
Babble,0,0,0,0,0,0,3,3,3,2,2,3,2,2,2,2,0,0,3,1,1,0,0,0,0,0,1
BoxSlime,0,0,1,0,0,1,2,2,3,2,2,2,2,2,3,2,0,1,0,0,0,0,0,0,0,0,0
PearlGel,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,2
Slime,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0
Healer,0,0,0,1,1,0,2,2,2,3,3,2,2,2,2,2,0,0,0,0,0,1,2,2,0,0,0
FangSlime,0,0,0,0,0,0,2,2,3,2,2,2,3,3,3,2,0,0,0,1,0,1,1,1,1,1,0
RockSlime,0,0,1,0,0,2,2,2,3,2,2,2,2,2,3,2,0,2,0,0,1,0,0,0,0,0,0
SlimeBorg,1,1,0,1,2,1,2,2,3,2,2,3,2,2,3,2,1,1,0,1,0,0,0,0,0,0,0
Slabbit,0,0,0,0,0,0,2,2,2,2,2,2,3,3,2,2,0,0,0,0,0,2,1,1,2,1,1
KingSlime,1,1,1,1,1,1,3,2,3,2,2,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1
Metaly,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,0,0,0,3,0,3
Metabble,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,0,0,0,3,0,3
SpotKing,1,1,1,0,0,1,3,2,3,2,2,3,3,3,3,2,1,1,0,1,0,2,2,2,2,2,1
TropicGel,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,1
MimeSlime,1,1,1,1,0,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,1
HaloSlime,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,1,0,0
MetalKing,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,0,0,0,3,1,3
GoldSlime,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,1,1,1,3,2,3
GranSlime,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,2,3,3,3,2,3,2,2,2,2,3,2
WonderEgg,1,1,1,2,1,2,1,2,3,1,0,3,0,0,0,0,2,1,2,2,2,2,2,2,1,1,3

DragonKid,1,2,2,0,0,2,1,1,1,1,1,1,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0
Tortragon,2,2,2,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,0,0,0,1,1,1,1,1,1
Pteranod,2,2,2,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,1,1,1,0
Gasgon,2,2,2,1,1,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,0,1,1,1,0,0,0
FairyDrak,2,2,2,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0,1,1,1,0,0,0,1,1,0
LizardMan,0,2,2,1,1,1,1,0,2,0,0,1,0,0,3,0,2,0,0,1,2,0,0,0,0,0,0
Poisongon,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,0,2,0,2,1,1,0,0,0,0,0,1
Swordgon,1,1,1,0,0,1,1,1,1,0,0,0,0,0,3,0,2,1,1,0,1,1,0,0,0,0,1
Drygon,2,2,2,0,0,0,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1
Dragon,2,2,2,0,0,0,0,2,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1
MiniDrak,0,0,0,1,1,0,0,0,1,0,0,1,0,0,2,0,2,0,0,1,2,2,1,2,1,1,1
MadDragon,1,1,0,0,0,0,0,1,0,0,0,0,1,1,2,0,2,0,0,0,1,2,2,1,2,2,1
RayBurn,2,2,2,2,2,0,0,2,0,0,0,1,0,0,2,0,2,1,0,0,0,0,2,1,2,1,1
Chamelgon,1,2,2,0,0,0,0,0,2,1,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1
LizardFly,1,2,2,0,0,0,0,1,0,0,0,1,0,0,2,0,3,0,1,1,1,0,0,0,1,1,0
Andreal,2,2,2,0,0,0,0,2,2,2,0,2,0,0,2,0,2,2,0,0,0,1,1,1,0,0,1
KingCobra,1,2,2,0,0,0,1,1,1,1,1,1,1,1,3,1,2,0,2,0,2,0,0,0,0,0,1
